SponsorInfo
Name: Lowell Murray
Title: Senator
Constituency: None"
"ID: 37-2/S-15
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 37-1/S-15
Name: Colin Kenny
Title: Senator
Constituency: None"
"ID: 36-2/S-15
Name: Lorna Milne
Title: Senator
Constituency: None"
"ID: 36-1/S-15
Name: John Lynch-Staunton
Title: Senator
Constituency: None"
"ID: 35-2/S-15
Name: Michael Meighen
Title: Senator
Constituency: None"
"ID: 35-1/S-15
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 41-1/S-16
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-16
Name: Gerry St. Germain
Title: Senator
Constituency: None"
"ID: 37-3/S-16
Name: Joseph A. Day
Title: Senator
Constituency: None"
"ID: 37-2/S-16
Name: Donald H. Oliver
Title: Senator
Constituency: None"
"ID: 37-1/S-16
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-2/S-16
Name: Normand Grimard
Title: Senator
Constituency: None"
"ID: 36-1/S-16
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 35-2/S-16
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 41-1/S-17
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-17
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-3/S-17
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 37-2/S-17
Name: Roch Bolduc
Title: Senator
Constituency: None"
"ID: 37-1/S-17
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-2/S-17
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-1/S-17
Name: Donald H. Oliver
Title: Senator
Constituency: None"
"ID: 38-1/S-18
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-3/S-18
Name: Tommy Banks
Title: Senator
Constituency: None"
"ID: 37-2/S-18
Name: Jean Lapointe
Title: Senator
Constituency: None"
"ID: 37-1/S-18
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 36-2/S-18
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-1/S-18
Name: James Kelleher
Title: Senator
Constituency: None"
"ID: 38-1/S-19
Name: Madeleine Plamondon
Title: Senator
Constituency: None"
"ID: 37-2/S-19
Name: Consiglio Di Nino
Title: Senator
Constituency: None"
"ID: 37-1/S-19
Name: Michael Kirby
Title: Senator
Constituency: None"
"ID: 36-2/S-19
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-1/S-19
Name: J. Michael Forrestall
Title: Senator
Constituency: None"
"ID: 38-1/S-20
Name: Terry Stratton
Title: Senator
Constituency: None"
"ID: 37-2/S-20
Name: Joseph A. Day
Title: Senator
Constituency: None"
"ID: 37-1/S-20
Name: Terry Stratton
Title: Senator
Constituency: None"
"ID: 36-2/S-20
Name: Colin Kenny
Title: Senator
Constituency: None"
"ID: 36-1/S-20
Name: Nicholas Taylor
Title: Senator
Constituency: None"
"ID: 38-1/S-21
Name: Céline Hervieux-Payette
Title: Senator
Constituency: None"
"ID: 37-2/S-21
